System ID,UPC,EAN,Custom SKU,Manufact. SKU,Item,Remaining,Total Cost,Avg. Cost,Sale Price,Margin
210000037738,00000000000000,8033874116319,PACH0060,CN11-VLX,Campagnolo Veloce 10 Speed Chain,1,$43.00,$29.25,$54.95,21.75%
210000037740,07108456447199,,PACH0062,91.2712.114.105,SRAM PC-1091R 10 speed Chain with PowerLock 114 Links,1,$35.20,$33.44,$52.00,32.31%
210000037746,00710845644689,,PACH0069,93.2712.114.105,SRAM PC-1051 10 speed Chain  w/PowerLock 114 links,13,$16.45,$16.06,$24.00,31.46%
210000037750,00766759910136,,masterlink,ML,"Master Link 1/8""chains Each",24,$0.22,$0.09,$0.94,76.60%
210000037752,00689228414006,,,ICN6701116,"Shimano CN-6701-10 Chain - 10-Speed, 116 Links, Silver",5,$24.75,$21.03,$39.99,38.11%
210000037790,00710845712258,,,,Sram PC XX1 11-speed Chain 118 links,2,$33.00,$33.20,$51.00,35.29%
210000037794,00710845644696,,PACH0106,89.2711.114.105,SRAM PC-1071 10 speed Chain w/PowerLock 114 links,2,$26.60,$26.60,$41.00,35.12%
210000037800,00689228722965,,PACH0109,ICNHG54116I,"Shimano Deore CN-HG54 Chain - 10-Speed, 116 Links, Silver",10,$13.90,$13.90,$25.99,46.52%
210000037840,00689228074620,,PACR0110042,,Ultegra 6500 42t 130mm 9spd,1,$18.00,$18.00,$37.95,52.57%
210000037856,00400310034694,,PACR0144,,FSA Super Road 46t 110mmCampy,1,$43.47,$43.47,$86.95,50.01%
210000037860,00822051250001,,PACR0146,,FSA Pro Rd S10 48t 130mm Black,1,$25.29,$25.29,$45.99,45.01%
210000037898,00689228507463,,PACR0269,,SLX M665 32t 104mm 10spdmiddle,1,$18.80,$18.80,$37.95,50.46%
210000037912,00000000000000,,PACR0323,,"Shimano Altus FC-M311 Crankset - 175mm, 7/8-Speed, 42/32/22t, Riveted, Square Taper JIS Spindle Interface, Black",1,$19.50,$19.50,$49.95,60.96%
210000037922,00702430143486,,PACR0372,,1x Guide CX 34.9mmSeat Tube,1,$55.00,$55.00,$99.95,44.97%
210000037938,00852508002754,,PACR0400,,K-Edge Cross XL Chain Catcher 34.9,1,$41.20,$41.20,$78.95,47.82%
210000038080,00000000000000,,PAFD0046,,SRAM X9 Bottom pull 34.9mm 3-Speed Traditional Front Derailleur,1,$27.90,$27.90,$48.95,43.00%
210000038094,00000000000000,8033148856545,PAFD0060,1333419,"Campagnolo Athena Front Derailleur, Braze-on, Silver",1,$42.00,$42.00,$69.99,39.99%
210000038164,00000000000000,,803-00-142,,Air Sleeve Rebuild Fox Float,1,$12.00,$13.85,$25.00,52.00%
210000038244,00836572005316,,PAFR0001,WHLSMFG,Wheels Mfg Hanger 58,1,$12.75,$15.50,$25.95,50.87%
210000038246,00836572005323,,PAFR0002,,Wheels Manufacturing Derailleur Hanger - 59 (Felt),1,$11.92,$13.46,$24.99,52.30%
210000038254,00836572005385,,PAFR0006,DROPOUT-65,Wheels Manufacturing: Derailleur Hanger - 65,1,$13.10,$12.54,$24.95,47.49%
210000038256,00836572000403,,PAFR0009,,Wheels Mfg Hanger 2,3,$12.75,$12.75,$25.50,50.00%
210000038260,00836572005408,,#67,,Wheels Manufacturing Hanger 67 Ironhorse,1,$11.95,$12.54,$24.95,52.10%
210000038264,00836572006238,,PAFR0016,,Wheels Mfg Hanger 102: Scott,1,$13.13,$13.13,$27.49,52.24%
210000038272,00836572002650,,PAFR0026,,Wheels Mfg Hanger 13,1,$15.50,$13.50,$26.99,42.57%
210000038282,00836572005590,,PAFR0036,,"Wheels Mfg Hanger 85: Orca Diva, Avant",1,$14.25,$14.96,$26.99,47.20%
210000038284,00836572006177,,PAFR0037,DROPOUT-96,Wheels Mfg Hanger 96 dropout,1,$13.10,$13.10,$25.00,47.60%
210000038290,00836572004449,,PAFR0046,DROPOUT-25,Wheels Manufacturing Hanger 25,1,$13.20,$13.20,$24.95,47.09%
210000038292,00836572005224,,PAFR00490,DROPOUT-49,Wheels Manufacturing Hanger 49,1,$13.10,$14.51,$23.95,45.30%
210000038318,00822051140029,,PAFW0005,A8N16BN,"Dicta Standard BMX Freewheel - 16t, Gold",1,$7.60,$7.55,$14.99,49.30%
210000038320,00000000000000,,PAFW0007,,Shimano Dura-Ace track cog lockring,2,$7.19,$7.19,$12.99,44.65%
210000038348,00708752032002,,PAFW0037,,"Surly Track Cog 1/8"" x 16t",1,$13.00,$13.00,$25.95,49.90%
210000038350,00000000000000,,PAFW0038,,"Track Cog 3/32"" x 16t Surly",1,$13.00,$13.00,$26.00,50.00%
210000038356,00000000000000,,PAFW0046,,"Track Cog Surly 3/32"" 14t",1,$13.00,$13.00,$26.00,50.00%
210000038358,00000000000000,,PAFW0048,,"Track Cog Surly 3/32"" 18t",1,$15.00,$15.00,$30.00,50.00%
210000038360,00000000000000,,PAFW0049,,"Track Cog Surly 3/32"" 19t",1,$15.00,$15.00,$30.00,50.00%
210000038376,00710845709586,,,00.2418.035.003,PG-1070 10spd 11-28 cassette,1,$54.43,$54.43,$86.00,36.71%
210000038382,06892282936499,4524667293644,,ICS670010125,Shimano Ultegra CS-6700 10-Speed 11-25t Cassette,2,$62.25,$61.20,$70.99,12.31%
210000038386,07108455046866,,PAFW0098,00.2415.009.000,"SRAM PG-950 Cassette - 9 Speed, 11-28t, Silver",1,$21.45,$20.37,$34.00,36.91%
210000038402,00689228424333,,PAFW0116,,"Shimano 105 CS-5700 Cassette - 10 Speed, 11-28t, Silver",2,$47.99,$41.10,$54.99,12.73%
210000038406,00689228424319,,PAFW0118,,"Shimano 105 CS-5700 Cassette - 10 Speed, 11-25t, Silver",2,$46.74,$41.10,$94.95,50.77%
210000038418,00710845002908,,PAFW0142,,"SRAM PG-950 Cassette - 9 Speed, 11-34t, Silver",2,$19.25,$20.38,$34.00,43.38%
210000038470,00710845709425,,PAFW0185,00.2418.033.002,"SRAM PG-1030 Cassette - 10 Speed, 11-32t, Silver",3,$36.65,$35.43,$59.00,37.88%
210000038484,07108457096099,,PAFW0195,00.2418.035.005,SRAM: PG-1070 10 speed 11-36 Cassette,1,$55.34,$55.34,$101.00,45.21%
210000038546,00657993022092,,PAGR0100,VLT-0001G-01 Blk Salsa,Salsa Gel Cork Bar Tape Black,10,$10.10,$9.56,$20.00,49.50%
210000038552,00657993022115,,PAGR0119,,Salsa Gel Cork Bar Tape White,1,$9.72,$9.59,$20.00,51.40%
210000038556,00657993022139,,PAGR0135,,Salsa Gel Cork Bar Tape Brown,1,$10.00,$10.00,$19.95,49.87%
210000038600,00711484105142,,PAGR0180,,"ODI Longneck ST Grips - Red, Flange",2,$6.60,$6.70,$12.95,49.03%
210000038610,00711484105111,,PAGR0192,,"ODI Longneck ST Grips - Green, Flange",4,$6.60,$6.70,$12.95,49.03%
210000038638,00000042400037,,PAGR0213,42410025,"Ergon GS2 Grips - Black/Gray, Lock-On, Large",1,$27.20,$27.20,$49.95,45.55%
210000038692,00723660990596,,PAHB0035,,"ZB FlipUp Bracket, fits 31.8",1,$19.95,$19.95,$40.00,50.12%
210000038774,00000000000000,,PAHS0109,,Wheels Manufacturing Carbon Spacer 5mm 1-1/8 (EACH),5,$2.16,$1.16,$4.00,46.00%
210000038808,00000000000000,,PAHS0136,,"Chris King InSet 7 Headset, 1 1/8-1.5"" 44mm Red",1,$114.00,$114.00,$193.95,41.22%
210000038942,00641300600127,,PAPD0002001,,Crank Brothers: Premium Cleat 6 degrees of Float,6,$14.00,$14.06,$24.50,42.86%
210000038950,07087520057300,,PAPD0009003,MT-3/W-2 LARGE,Dimension Toe Clip and Strap Set LG/XL Black,1,$4.50,$4.35,$9.99,54.95%
210000038962,00689228073418,4524667073413,PAPD0018,Y42U98020,Shimano SH10 SPD-SL Cleat Set with Hardware Floating 0 Degree(RED),1,$14.44,$15.10,$29.00,50.21%
210000038998,00689228073166,,PAPD0126,Y42498201,Shimano SM-SH51 SPD cleats,9,$9.00,$9.28,$18.00,50.00%
210000039028,00859254001253,,PAPD0178,13355,Speedplay Light Action Cleats,1,$22.50,$22.50,$39.99,43.74%
210000039040,00000000000000,,PAPD0202,,Crank Brothers Next Generation Level 1 and 2 Pedal Rebuild Kit: Model years 2010-2015,1,$7.50,$8.25,$15.95,52.98%
210000039044,00859254001185,,PAPD0208,13225,Speedplay Zero Cafe Cleat Covers,6,$6.00,$6.00,$9.99,39.94%
210000039058,02502171511579,8017732393234,,10909000000,Sidi Shoe Replacement Rubber Heel Pad 3: Fits Millenium 3 Sole,2,$5.90,$5.90,$10.99,46.31%
210000039098,00011928001000,2000000075228,PAPD0264,11928001000,Sidi Soft Instep Closure System 2 circa 2011 (Soft Instep Closure System - Black),2,$16.15,$15.35,$20.95,22.91%
210000039104,08017732383297,2500150148396,PAPD0267,,Sidi Shoe Replacement Caliper Buckle: Red/Black,1,$12.25,$13.95,$19.99,38.72%
210000039144,07087520250044,,PAPD0290,"""LU-937 1/2""""""","Dimension Junior Pedals - Platform, Plastic, 1/2"", Black",5,$5.00,$5.00,$12.09,58.64%
210000039154,00000000000000,,PARD0002,,X.3 Rear Derailleur 1:1 Long,1,$10.00,$14.15,$23.95,58.25%
210000039156,05060118770450,,PARD0011,,DMR STS Chain Tensioner Stainless,1,$15.00,$15.75,$28.00,46.43%
210000039204,00000000000000,,PARD0110,,SRAM 2010+ X.9 X.7 9-10spd pulley,1,$14.60,$13.87,$28.95,49.57%
210000039254,00000000000000,,PARM0031,,"XR400 32h Disc 26"" White DT",3,$49.99,$49.99,$98.95,49.48%
210000039256,00000000000000,,PARM0032,,FR600 32h BlackFreeride/DH Rim,1,$59.99,$59.99,$109.99,45.46%
210000039404,00710845006494,,PASH0018,00.0000.200.649,"SRAM MRX Comp 7-Speed Rear Shifter, Shimano compatible",5,$8.49,$8.49,$17.95,52.70%
210000039408,00710845006524,,00.0000.200.652,00.0000.200.652,SRAM MRX Comp Microfriction Front Shifter,3,$7.49,$7.49,$17.95,58.27%
210000039420,00710845006500,,PASH0035,00.0000.200.650,"SRAM MRX Comp 6-Speed Rear Shifter, Shimano compatible",1,$5.60,$5.60,$17.95,68.80%
210000039462,00689228436169,,PASH0097,ESTEF514R7VAS2P,Shimano EF51 Shift/Brake Right 7-Speed Canti/V-Brake,1,$9.99,$9.99,$29.99,66.69%
210000039516,00000000000000,,PASH0166,,Sram MRX Comp 5 Speed Grip Shifter,3,$5.25,$5.37,$17.95,70.75%
210000039542,00689228204430,,PASH0184,,"Shimano Ultegra ST-6600, ST-6000-G, ST-R700, 105 ST-5600 STI Lever Hoods, Black, Pair",1,$7.69,$7.69,$18.95,59.42%
210000039616,00000000000000,,PASK0324,,DT Swiss Pro Lock Brass nipples 2.0x12mm Black,31,$19.64,$19.64,$44.95,56.31%
210000039744,00708752028364,,PAST0007,1P413-253148S,Problem Solvers Handlebar shim 25.4mm to 31.8mm Aluminum Silver,2,$4.15,$4.15,$13.85,70.04%
210000039748,00696260758104,,PAST0015,,Lizard Handle Bar Plugs EACH,2,$0.18,$0.18,$0.50,64.00%
210000039820,00708752044081,,PAST0201,6214R-44 31.8 FLAT BLK,DMN 31.8 44cm flat topshallow,1,$22.50,$22.50,$46.95,52.08%
210000039832,00708752072305,,PAST0223,,Dimension Stem 31.8 70mm 83/97d Blk 1-1/8,2,$14.85,$16.18,$29.95,50.42%
210000039852,00875850002395,,PAST0236,,X4 Elite Stem 100mm + -10 Silv,1,$55.00,$55.00,$109.95,49.98%
210000039920,00652710009653,,PAWH0012,,"Alex 519 Rear 3/8 FW 20"" Wheel Silver",2,$17.99,$17.99,$39.95,54.97%
210000039934,00072774656707,,PAWH0033,,"Alloy 24"" Wheel Front Silver",2,$22.99,$22.52,$44.95,48.85%
210000039936,00000000000000,,,,"519 24"" 3/8 FW Front Wheel Silver",1,$17.99,$13.00,$35.95,49.96%
210000039938,00000000000000,,,,"519 24"" Front Wheel Silver B/O",1,$18.99,$18.99,$35.95,47.18%
210000039974,00072774657032,,PAWH0156,,"Zac30 20"" Front 14mm Wheel",3,$21.09,$21.09,$45.95,54.10%
210000039978,00072274766944,,PAWH0171,,WHL CB 12G Heavy Duty 36H Shimano E110 RR 24x1.75 ALY SL SHI,1,$38.97,$38.97,$75.00,48.04%
210000040044,00072774660896,,PAWH0269,,519 Rear 24x1.50 Black Weinman,1,$21.99,$26.29,$42.95,48.80%
